CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
31931U102,FRBA,FIRST BK WILLIAMSTOWN NEW JE,35150,-19438,623.21K,-344.64K,-35.6%,<.01%
746964105,QTTB,Q32 BIO INC,179600,-27315,2.29M,-347.99K,-13.2%,<.01%
58958P104,MRBK,MERIDIAN CORP,0,-18400,0,-348.86K,CLOSE,0%
98372W202,XYF,X FINL,0,-85041,0,-350.37K,CLOSE,0%
747324101,PYXS,PYXIS ONCOLOGY INC,772232,-116448,2.32M,-350.51K,-13.1%,<.01%
72814P109,PLBY,PLAYBOY INC,137800,-287559,168.12K,-350.82K,-67.6%,<.01%
804395101,BFS,SAUL CTRS INC,177074,-9400,6.62M,-351.47K,-5%,<.01%
00164V103,AMCX,AMC GLOBAL MEDIA INC,27600,-35300,275.45K,-352.29K,-56.1%,<.01%
929566107,WNC,WABASH NATL CORP,198265,-26100,2.68M,-352.35K,-11.6%,<.01%
30320C301,FTCI,FTC SOLAR INC,0,-93400,0,-353.05K,CLOSE,0%
192005106,CDXS,CODEXIS INC,41500,-157233,93.79K,-355.35K,-79.1%,<.01%
25253X207,DMAC,DIAMEDICA THERAPEUTICS INC,0,-52523,0,-355.58K,CLOSE,0%
68287N100,OSPN,ONESPAN INC,0,-33829,0,-356.22K,CLOSE,0%
444144109,HDSN,HUDSON TECHNOLOGIES INC,1442115,-62135,8.28M,-356.65K,-4.1%,0.01%
46092D673,NEBX,INVESTMENT MANAGERS SER TR I,0,-11100,0,-357.42K,CLOSE,0%
882927460,HOOG,THEMES ETF TR,0,-21200,0,-362.94K,CLOSE,0%
950915108,WRD,WERIDE INC,19600,-62400,114.07K,-363.17K,-76.1%,<.01%
75689M101,RRGB,RED ROBIN GOURMET BURGERS IN,118164,-45680,944.13K,-364.98K,-27.9%,<.01%
87283P109,TRX,TRX GOLD CORPORATION,374628,-443255,309.07K,-365.69K,-54.2%,<.01%
091955104,ETHW,BITWISE ETHEREUM ETF,0,-24400,0,-366K,CLOSE,0%
36831E108,GCMG,GCM GROSVENOR INC,213900,-29800,2.63M,-366.54K,-12.2%,<.01%
535555106,LNN,LINDSAY CORP,0,-3100,0,-369.12K,CLOSE,0%
25434V880,DFAX,DIMENSIONAL ETF TRUST,0,-10900,0,-370.27K,CLOSE,0%
G5294K110,SUPX,SUPERX AI TECHNOLOGY LTD,10900,-46500,87.2K,-372K,-81%,<.01%
09174P303,BTM,BITCOIN DEPOT INC,0,-171051,0,-372.89K,CLOSE,0%
85512C105,SGU,STAR GROUP LP,881007,-29101,11.31M,-373.66K,-3.2%,0.02%
62878D100,NABL,N-ABLE INC,778565,-101935,2.86M,-374.1K,-11.6%,<.01%
46429B689,EFAV,ISHARES TR,0,-4100,0,-374.62K,CLOSE,0%
25461A460,YANG,DIREXION SHARES ETF TRUST,45200,-9200,1.84M,-374.9K,-16.9%,<.01%
921946794,VYMI,VANGUARD WHITEHALL FDS,0,-4000,0,-376.96K,CLOSE,0%
37954Y293,MLPX,GLOBAL X FDS,0,-5100,0,-377.09K,CLOSE,0%
92189F643,MOAT,VANECK ETF TRUST,0,-3900,0,-377.13K,CLOSE,0%
224408104,CR,CRANE COMPANY,159600,-1700,35.6M,-379.22K,-1.1%,0.05%
869367201,STRO,SUTRO BIOPHARMA INC,86324,-11500,2.87M,-381.8K,-11.8%,<.01%
42981E401,HITI,HIGH TIDE INC,899932,-167700,2.05M,-382.36K,-15.7%,<.01%
46005L101,IMXI,INTERNATIONAL MONEY EXPRESS,0,-24300,0,-383.94K,CLOSE,0%
45254E107,IMRX,IMMUNEERING CORP,0,-72875,0,-384.05K,CLOSE,0%
37954Y343,MLPA,GLOBAL X FDS,0,-7200,0,-387.86K,CLOSE,0%
48563L101,KRT,KARAT PACKAGING INC,30115,-11600,1.01M,-388.14K,-27.8%,<.01%
46138G870,VRP,INVESCO EXCH TRADED FD TR II,0,-16370,0,-392.55K,CLOSE,0%
78501P203,SWKH,SWK HLDGS CORP,0,-23100,0,-392.93K,CLOSE,0%
G9451V109,VINP,VINCI COMPASS INVESTMENTS LT,44300,-40600,431.04K,-395.04K,-47.8%,<.01%
53946R106,LDI,LOANDEPOT INC,503600,-316200,629.5K,-395.25K,-38.6%,<.01%
30234E203,HYPD,HYPERION DEFI INC,0,-115641,0,-398.96K,CLOSE,0%
25461A544,TSMX,DIREXION SHARES ETF TRUST,0,-7000,0,-399.84K,CLOSE,0%
27579R104,EWBC,EAST WEST BANCORP INC,260233,-3100,33.59M,-400.18K,-1.2%,0.05%
67098H104,OI,O-I GLASS INC,13100,-41600,126.15K,-400.61K,-76.1%,<.01%
64440N103,NFGC,NEW FOUND GOLD CORP,445400,-260923,685.92K,-401.82K,-36.9%,<.01%
693149106,PAMT,PAMT CORP,844041,-28700,11.83M,-402.09K,-3.3%,0.02%
92346J108,VCEL,VERICEL CORP,0,-12600,0,-405.34K,CLOSE,0%
90337L108,USPH,U S PHYSICAL THERAPY,70997,-5959,4.88M,-409.26K,-7.7%,<.01%
G33856108,GSM,FERROGLOBE PLC,2638735,-129500,8.39M,-411.81K,-4.7%,0.01%
00436Q106,ACEL,ACCEL ENTERTAINMENT INC,712105,-32900,8.98M,-414.87K,-4.4%,0.01%
M52523103,WILC,G WILLI FOOD INTL LTD,396152,-12500,13.17M,-415.62K,-3.1%,0.02%
427866108,HSY,HERSHEY CO,0,-2000,0,-415.78K,CLOSE,0%
747301109,QUAD,QUAD / GRAPHICS INC,672900,-49500,5.67M,-417.29K,-6.9%,<.01%
52466B103,LZ,LEGALZOOM COM INC,3945493,-68200,24.19M,-418.07K,-1.7%,0.03%
702712209,PASG,PASSAGE BIO INC,47892,-85720,233.71K,-418.31K,-64.2%,<.01%
316092865,FUTY,FIDELITY COVINGTON TRUST,0,-7100,0,-419.4K,CLOSE,0%
M85548101,SSYS,STRATASYS LTD,274400,-49000,2.35M,-419.44K,-15.2%,<.01%
21867A105,CLB,CORE LABORATORIES INC,14500,-36103,168.93K,-420.6K,-71.3%,<.01%
83422E204,SLDB,SOLID BIOSCIENCES INC,82100,-42172,820.18K,-421.3K,-33.9%,<.01%
178867107,CIVB,CIVISTA BANCSHARES INC,36964,-15032,1.04M,-424.2K,-28.9%,<.01%
961765104,WHG,WESTWOOD HLDGS GROUP INC,328558,-22209,6.3M,-425.52K,-6.3%,<.01%
464287697,IDU,ISHARES TR,0,-3700,0,-429.61K,CLOSE,0%
G1757E113,CMCL,CALEDONIA MNG CORP,0,-19027,0,-429.82K,CLOSE,0%
008875304,DOMH,DOMINARI HOLDINGS INC,0,-132362,0,-430.18K,CLOSE,0%
53626N102,LION,LIONSGATE STUDIOS CORP,22400,-28100,342.94K,-430.21K,-55.6%,<.01%
927926303,VGZ,VISTA GOLD CORP,629885,-225620,1.2M,-430.93K,-26.4%,<.01%
74967R106,RMR,RMR GROUP INC,418714,-21100,8.6M,-433.18K,-4.8%,0.01%
45781M101,INVA,INNOVIVA INC,4036532,-19100,91.67M,-433.76K,-0.5%,0.13%
30041T104,MRAM,EVERSPIN TECHNOLOGIES INC,316370,-17997,7.65M,-435.17K,-5.4%,0.01%
384313607,EAF,GRAFTECH INTL LTD SR NT,47561,-73783,281.09K,-436.06K,-60.8%,<.01%
